<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	12:00:00	28979.00	29004.00	28941.50	28944.00	957	0	1700
2022.01.03	16:00:00	28944.00	28999.00	28819.00	28914.00	4571	0	1700
2022.01.03	20:00:00	28914.00	28969.00	28844.00	28931.50	1539	0	1700
2022.01.04	00:00:00	28993.00	29258.00	28985.50	29180.50	2175	0	900
2022.01.04	04:00:00	29185.50	29318.00	29158.00	29278.00	3184	0	900
2022.01.04	08:00:00	29280.50	29308.00	29189.00	29219.00	2451	0	900
2022.01.04	12:00:00	29219.00	29344.00	29219.00	29339.00	2788	0	1700
2022.01.04	16:00:00	29339.00	29366.50	29209.00	29269.00	5616	0	1700
2022.01.04	20:00:00	29266.50	29304.00	29189.00	29284.00	2569	0	1700
2022.01.05	00:00:00	29273.00	29388.00	29193.00	29298.00	2233	0	900
2022.01.05	04:00:00	29295.50	29348.00	29280.50	29330.50	2858	0	900
2022.01.05	08:00:00	29333.00	29343.00	29259.00	29299.00	2646	0	900
2022.01.05	12:00:00	29299.00	29304.00	29259.00	29294.00	2664	0	1700
2022.01.05	16:00:00	29294.00	29359.00	29249.00	29289.00	4598	0	1700
2022.01.05	20:00:00	29289.00	29319.00	28971.50	29009.00	5505	0	1700
2022.01.06	00:00:00	29103.00	29115.50	28818.00	28833.00	3158	0	900
2022.01.06	04:00:00	28835.50	28835.50	28496.86	28504.32	7433	0	900
2022.01.06	08:00:00	28499.32	28683.01	28484.34	28680.51	5000	0	900
2022.01.06	12:00:00	28683.01	28765.54	28668.01	28700.46	4005	0	1700
2022.01.06	16:00:00	28700.46	28845.49	28575.40	28810.47	9154	0	1700
2022.01.06	20:00:00	28812.97	28822.98	28660.39	28720.41	4897	0	1700
2022.01.07	00:00:00	28787.74	28802.62	28444.13	28473.06	3478	0	900
2022.01.07	04:00:00	28470.56	28492.17	28283.33	28489.70	6493	0	900
2022.01.07	08:00:00	28487.21	28500.75	28365.69	28440.73	3422	0	900
2022.01.07	12:00:00	28440.73	28490.72	28345.66	28393.17	3388	0	1700
2022.01.07	16:00:00	28390.67	28465.70	28185.57	28370.63	6801	0	1700
2022.01.07	20:00:00	28370.63	28455.65	28355.62	28438.13	2919	0	1700
2022.01.10	00:00:00	28360.50	28435.50	28303.00	28410.50	912	0	900
2022.01.10	04:00:00	28413.00	28505.50	28380.50	28500.50	1551	0	900
2022.01.10	08:00:00	28508.00	28571.50	28409.00	28499.00	3240	0	900
2022.01.10	12:00:00	28494.00	28534.00	28246.50	28294.00	3400	0	1700
2022.01.10	16:00:00	28294.00	28314.00	27869.00	27964.00	5987	0	1700
2022.01.10	20:00:00	27964.00	28221.50	27959.00	28171.50	4128	0	1700
2022.01.11	00:00:00	28308.00	28365.78	28079.59	28094.69	4141	0	900
2022.01.11	04:00:00	28094.70	28296.80	28082.75	28191.60	6218	0	900
2022.01.11	08:00:00	28204.15	28327.58	28114.03	28295.07	4150	0	900
2022.01.11	12:00:00	28295.07	28315.07	28195.03	28200.03	2727	0	1700
2022.01.11	16:00:00	28200.03	28440.06	28130.01	28430.06	7961	0	1700
2022.01.11	20:00:00	28430.06	28475.06	28397.55	28460.05	2505	0	1700
2022.01.12	00:00:00	28563.41	28677.45	28539.53	28670.01	3016	0	900
2022.01.12	04:00:00	28670.01	28803.78	28665.02	28781.75	4429	0	900
2022.01.12	08:00:00	28774.27	28774.27	28620.22	28710.07	3343	0	900
2022.01.12	12:00:00	28710.07	28795.07	28655.05	28760.06	3076	0	1700
2022.01.12	16:00:00	28760.06	28805.25	28645.21	28700.22	6997	0	1700
2022.01.12	20:00:00	28700.22	28710.20	28607.69	28690.20	3647	0	1700
2022.01.13	00:00:00	28591.15	28637.61	28474.72	28487.30	3072	0	900
2022.01.13	04:00:00	28489.79	28553.78	28449.95	28454.80	5076	0	900
2022.01.13	08:00:00	28459.78	28601.07	28459.78	28576.06	2926	0	900
2022.01.13	12:00:00	28576.06	28628.56	28551.06	28626.06	2180	0	1700
2022.01.13	16:00:00	28626.06	28676.06	28396.03	28428.54	6772	0	1700
2022.01.13	20:00:00	28426.04	28471.04	28246.02	28271.02	4723	0	1700
2022.01.14	00:00:00	28148.25	28154.89	27920.99	27938.58	4454	0	900
2022.01.14	04:00:00	27938.57	28185.21	27884.86	28110.95	7484	0	900
2022.01.14	08:00:00	28113.44	28277.37	28085.93	28254.86	4488	0	900
2022.01.14	12:00:00	28259.86	28299.90	28034.78	28084.80	4535	0	1700
2022.01.14	16:00:00	28082.29	28237.34	28064.79	28154.79	8954	0	1700
2022.01.14	20:00:00	28152.29	28337.34	28129.78	28314.82	4732	0	1700
2022.01.17	00:00:00	28350.65	28452.45	28338.16	28353.23	3572	0	900
2022.01.17	04:00:00	28358.23	28372.29	28272.03	28322.72	4404	0	900
2022.01.17	08:00:00	28327.72	28398.69	28306.17	28391.18	2614	0	900
2022.01.17	12:00:00	28391.18	28411.17	28376.15	28381.16	1462	0	1700
2022.01.17	16:00:00	28381.16	28421.16	28376.15	28398.64	1575	0	1700
2022.01.18	00:00:00	28444.77	28586.82	28437.26	28569.72	3111	0	900
2022.01.18	04:00:00	28569.73	28743.39	28121.98	28243.36	8888	0	900
2022.01.18	08:00:00	28248.38	28320.90	28006.79	28071.81	4771	0	900
2022.01.18	12:00:00	28071.81	28121.81	28056.80	28091.80	4268	0	1700
2022.01.18	16:00:00	28094.30	28139.30	27966.73	27971.74	7705	0	1700
2022.01.18	20:00:00	27971.74	28114.26	27949.23	28009.23	5064	0	1700
2022.01.19	00:00:00	27832.13	27873.42	27688.71	27715.71	4257	0	900
2022.01.19	04:00:00	27715.70	27765.52	27298.60	27431.38	9312	0	900
2022.01.19	08:00:00	27426.39	27779.63	27378.88	27769.63	5509	0	900
2022.01.19	12:00:00	27769.63	27864.62	27744.62	27844.61	3285	0	1700
2022.01.19	16:00:00	27844.61	27874.61	27609.55	27809.58	7602	0	1700
2022.01.19	20:00:00	27812.08	27814.58	27554.51	27569.52	4739	0	1700
2022.01.20	00:00:00	27710.73	27710.73	27206.04	27490.50	5721	0	900
2022.01.20	04:00:00	27488.00	27880.35	27488.00	27773.86	7846	0	900
2022.01.20	08:00:00	27776.36	27868.88	27617.54	27687.55	4747	0	900
2022.01.20	12:00:00	27685.05	27800.10	27682.55	27762.57	3383	0	1700
2022.01.20	16:00:00	27762.57	27957.61	27742.56	27902.59	5656	0	1700
2022.01.20	20:00:00	27902.59	27932.59	27474.93	27484.93	6007	0	1700
2022.01.21	00:00:00	27203.23	27411.38	27127.35	27332.68	5745	0	900
2022.01.21	04:00:00	27332.69	27580.75	27191.61	27519.00	10743	0	900
2022.01.21	08:00:00	27519.03	27685.06	27486.52	27660.05	5227	0	900
2022.01.21	12:00:00	27660.05	27695.06	27525.05	27545.05	5114	0	1700
2022.01.21	16:00:00	27542.55	27625.06	27355.00	27440.00	13095	0	1700
2022.01.21	20:00:00	27437.50	27502.51	27184.93	27202.43	8674	0	1700
2022.01.24	00:00:00	27366.79	27421.72	27192.22	27389.69	4627	0	900
2022.01.24	04:00:00	27392.18	27626.81	27308.43	27576.05	6795	0	900
2022.01.24	08:00:00	27568.52	27611.03	27361.94	27414.45	5317	0	900
2022.01.24	12:00:00	27411.95	27411.95	27156.85	27161.85	7874	0	1700
2022.01.24	16:00:00	27159.35	27244.37	26701.68	26896.74	16283	0	1700
2022.01.24	20:00:00	26894.24	27346.85	26766.69	27346.85	13194	0	1700
2022.01.25	00:00:00	27221.02	27292.82	27006.20	27063.59	6020	0	900
2022.01.25	04:00:00	27061.09	27177.09	26879.78	27114.99	11239	0	900
2022.01.25	08:00:00	27117.49	27185.87	26952.34	27163.37	8397	0	900
2022.01.25	12:00:00	27165.87	27203.37	26940.82	27018.33	7661	0	1700
2022.01.25	16:00:00	27013.33	27128.34	26848.29	26985.81	13992	0	1700
2022.01.25	20:00:00	26988.31	27353.36	26948.30	27055.81	9171	0	1700
2022.01.26	00:00:00	27049.54	27094.25	26847.98	26989.49	4539	0	900
2022.01.26	04:00:00	26991.99	27137.72	26949.49	27018.48	7977	0	900
2022.01.26	08:00:00	27020.97	27324.40	26993.39	27309.40	4988	0	900
2022.01.26	12:00:00	27304.40	27411.90	27259.38	27369.39	4679	0	1700
2022.01.26	16:00:00	27369.39	27379.39	27114.33	27264.34	9432	0	1700
2022.01.26	20:00:00	27269.35	27379.36	26786.73	26851.74	13633	0	1700
2022.01.27	00:00:00	27009.42	27019.44	26303.46	26338.30	7054	0	900
2022.01.27	04:00:00	26335.79	26407.80	26037.23	26164.30	14496	0	900
2022.01.27	08:00:00	26161.79	26663.09	26131.92	26628.07	7234	0	900
2022.01.27	12:00:00	26630.57	26758.09	26505.54	26740.58	7618	0	1700
2022.01.27	16:00:00	26738.08	26853.10	26513.03	26593.04	12169	0	1700
2022.01.27	20:00:00	26588.04	26658.05	26418.01	26555.52	10968	0	1700
2022.01.28	00:00:00	26415.89	26721.44	26283.25	26706.31	6534	0	900
2022.01.28	04:00:00	26708.80	26788.66	26642.46	26719.84	9641	0	900
2022.01.28	08:00:00	26717.33	26729.83	26453.23	26490.74	6478	0	900
2022.01.28	12:00:00	26493.24	26495.74	26233.20	26433.24	8423	0	1700
2022.01.28	16:00:00	26430.74	26663.27	26280.70	26518.23	12570	0	1700
2022.01.28	20:00:00	26520.73	26720.76	26338.18	26688.25	8818	0	1700
2022.01.31	00:00:00	26803.30	26968.82	26788.08	26930.56	3892	0	900
2022.01.31	04:00:00	26930.55	27131.25	26900.73	27020.77	6254	0	900
2022.01.31	08:00:00	27020.82	27070.83	26919.33	26989.34	4508	0	900
2022.01.31	12:00:00	26989.34	26989.34	26824.28	26931.79	5227	0	1700
2022.01.31	16:00:00	26929.29	27154.32	26891.78	27139.32	8070	0	1700
2022.01.31	20:00:00	27136.82	27339.35	27104.30	27284.33	4569	0	1700
2022.02.01	00:00:00	27304.81	27408.76	27091.90	27149.50	3485	0	900
2022.02.01	04:00:00	27149.49	27208.78	27008.40	27079.09	6298	0	900
2022.02.01	08:00:00	27079.06	27195.14	27010.12	27050.12	3759	0	900
2022.02.01	12:00:00	27052.62	27170.12	27047.62	27165.12	3261	0	1700
2022.02.01	16:00:00	27165.12	27170.12	26975.09	27095.10	8280	0	1700
2022.02.01	20:00:00	27090.10	27190.10	27025.09	27155.09	3987	0	1700
2022.02.02	00:00:00	27469.12	27535.94	27389.02	27513.71	2402	0	900
2022.02.02	04:00:00	27511.21	27561.45	27430.79	27519.76	3860	0	900
