<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.05	16:00:00	3772.08	3784.01	3740.43	3766.76	23786	0	40
2022.07.05	20:00:00	3767.01	3833.26	3766.01	3830.60	13888	0	40
2022.07.06	00:00:00	3834.78	3842.16	3820.66	3839.78	4550	0	60
2022.07.06	04:00:00	3839.66	3846.16	3819.16	3825.53	8124	0	60
2022.07.06	08:00:00	3825.78	3844.41	3806.16	3819.03	12680	0	60
2022.07.06	12:00:00	3819.16	3834.91	3811.91	3828.91	9454	0	60
2022.07.06	16:00:00	3828.66	3849.51	3808.42	3822.17	22515	0	40
2022.07.06	20:00:00	3822.17	3871.67	3819.17	3850.01	15788	0	40
2022.07.07	00:00:00	3849.87	3851.12	3837.62	3842.87	3136	0	60
2022.07.07	04:00:00	3842.62	3851.12	3829.12	3850.99	7685	0	60
2022.07.07	08:00:00	3851.12	3863.06	3848.29	3854.74	8866	0	60
2022.07.07	12:00:00	3854.37	3863.87	3845.27	3860.62	8445	0	60
2022.07.07	16:00:00	3860.87	3896.39	3858.69	3892.74	13955	0	40
2022.07.07	20:00:00	3892.99	3910.65	3886.27	3895.91	7322	0	40
2022.07.08	00:00:00	3893.68	3899.63	3890.26	3898.42	3345	0	60
2022.07.08	04:00:00	3898.55	3901.44	3884.61	3889.82	7017	0	60
2022.07.08	08:00:00	3890.07	3895.87	3881.05	3885.13	7945	0	60
2022.07.08	12:00:00	3885.12	3905.50	3864.30	3879.35	9881	0	60
2022.07.08	16:00:00	3879.59	3918.54	3868.55	3883.73	18667	0	40
2022.07.08	20:00:00	3883.24	3915.44	3878.53	3902.19	10927	0	40
2022.07.11	00:00:00	3897.21	3897.21	3886.00	3891.34	4122	0	60
2022.07.11	04:00:00	3891.21	3891.46	3868.76	3873.27	6211	0	60
2022.07.11	08:00:00	3873.02	3877.97	3860.96	3874.19	9665	0	60
2022.07.11	12:00:00	3873.94	3883.53	3867.14	3872.90	6539	0	60
2022.07.11	16:00:00	3872.90	3881.53	3848.71	3861.83	16803	0	40
2022.07.11	20:00:00	3861.83	3880.13	3847.36	3858.62	9350	0	40
2022.07.12	00:00:00	3858.30	3861.94	3834.39	3835.15	3411	0	60
2022.07.12	04:00:00	3835.27	3839.96	3828.79	3832.41	7001	0	60
2022.07.12	08:00:00	3832.66	3835.51	3818.52	3832.31	9625	0	60
2022.07.12	12:00:00	3832.18	3844.85	3823.10	3841.47	8495	0	60
2022.07.12	16:00:00	3841.47	3873.93	3837.32	3860.00	17982	0	40
2022.07.12	20:00:00	3860.25	3865.45	3801.59	3819.64	9999	0	40
2022.07.13	00:00:00	3821.65	3826.29	3815.66	3824.46	3924	0	60
2022.07.13	04:00:00	3824.33	3829.68	3817.12	3825.22	5830	0	60
2022.07.13	08:00:00	3824.97	3835.17	3815.30	3833.23	9762	0	60
2022.07.13	12:00:00	3832.99	3867.66	3748.07	3766.49	11133	0	60
2022.07.13	16:00:00	3766.25	3820.43	3756.86	3819.50	23847	0	40
2022.07.13	20:00:00	3819.99	3831.20	3791.74	3793.18	15283	0	40
2022.07.14	00:00:00	3791.91	3792.41	3771.50	3782.01	4268	0	60
2022.07.14	04:00:00	3782.13	3801.33	3780.88	3797.58	6056	0	60
2022.07.14	08:00:00	3797.70	3800.07	3751.16	3754.91	11994	0	60
2022.07.14	12:00:00	3754.92	3764.88	3739.40	3749.11	13728	0	60
2022.07.14	16:00:00	3748.87	3771.21	3721.21	3750.50	21228	0	40
2022.07.14	20:00:00	3750.75	3796.35	3743.37	3791.84	12287	0	40
2022.07.15	00:00:00	3794.14	3808.34	3792.08	3793.03	4038	0	60
2022.07.15	04:00:00	3792.78	3805.26	3790.68	3800.53	6733	0	60
2022.07.15	08:00:00	3800.78	3805.09	3777.31	3799.10	10508	0	60
2022.07.15	12:00:00	3798.98	3829.83	3783.46	3824.68	9906	0	60
2022.07.15	16:00:00	3824.93	3860.03	3816.60	3849.50	17287	0	40
2022.07.15	20:00:00	3849.50	3865.01	3847.20	3863.77	7630	0	40
2022.07.18	00:00:00	3875.96	3878.32	3863.15	3864.54	3094	0	60
2022.07.18	04:00:00	3864.91	3881.15	3864.66	3879.89	4640	0	60
2022.07.18	08:00:00	3879.77	3906.31	3876.64	3905.43	7924	0	60
2022.07.18	12:00:00	3905.56	3906.19	3887.19	3893.71	5215	0	60
2022.07.18	16:00:00	3893.33	3902.44	3881.96	3883.21	13211	0	40
2022.07.18	20:00:00	3883.21	3885.22	3818.06	3835.52	11566	0	40
2022.07.19	00:00:00	3835.40	3842.38	3831.42	3835.96	3212	0	60
2022.07.19	04:00:00	3835.71	3843.73	3834.05	3834.80	4367	0	60
2022.07.19	08:00:00	3835.04	3850.78	3831.70	3846.75	9126	0	60
2022.07.19	12:00:00	3846.63	3869.66	3845.99	3867.17	6894	0	60
2022.07.19	16:00:00	3867.42	3916.34	3865.46	3916.34	11633	0	40
2022.07.19	20:00:00	3916.09	3944.47	3909.36	3941.72	7756	0	40
2022.07.20	00:00:00	3943.34	3952.68	3936.74	3949.97	2828	0	60
2022.07.20	04:00:00	3950.22	3960.93	3946.12	3956.22	3830	0	60
2022.07.20	08:00:00	3955.97	3956.22	3935.49	3939.24	8618	0	60
2022.07.20	12:00:00	3939.24	3944.72	3919.53	3930.35	9278	0	60
2022.07.20	16:00:00	3930.22	3974.10	3921.88	3958.16	13633	0	40
2022.07.20	20:00:00	3957.91	3969.33	3935.58	3951.67	13528	0	40
2022.07.21	00:00:00	3951.13	3956.93	3947.02	3953.52	2592	0	60
2022.07.21	04:00:00	3953.39	3959.53	3942.32	3956.56	5106	0	60
2022.07.21	08:00:00	3956.31	3970.74	3942.63	3950.39	10748	0	60
2022.07.21	12:00:00	3950.52	3975.72	3944.75	3967.99	10739	0	60
2022.07.21	16:00:00	3968.12	3987.47	3927.73	3984.18	19656	0	40
2022.07.21	20:00:00	3984.43	4001.32	3967.70	3987.67	10888	0	40
2022.07.22	00:00:00	3985.20	3986.32	3977.30	3983.70	2951	0	60
2022.07.22	04:00:00	3983.45	3987.93	3978.02	3980.66	4283	0	60
2022.07.22	08:00:00	3980.41	3992.47	3976.81	3985.86	9215	0	60
2022.07.22	12:00:00	3985.61	3996.65	3984.87	3993.60	6775	0	60
2022.07.22	16:00:00	3993.60	4013.42	3960.27	3963.56	18069	0	40
2022.07.22	20:00:00	3963.31	3963.56	3938.74	3959.95	12565	0	40
2022.07.25	00:00:00	3965.51	3965.51	3950.99	3951.36	4409	0	60
2022.07.25	04:00:00	3951.12	3960.30	3948.96	3957.55	5101	0	60
2022.07.25	08:00:00	3957.18	3972.43	3950.25	3970.15	7467	0	60
2022.07.25	12:00:00	3970.03	3986.20	3969.40	3975.63	6561	0	60
2022.07.25	16:00:00	3975.88	3977.36	3948.68	3969.22	16842	0	40
2022.07.25	20:00:00	3969.09	3973.92	3943.08	3958.46	9636	0	40
2022.07.26	00:00:00	3955.50	3956.26	3946.86	3949.09	2839	0	60
2022.07.26	04:00:00	3949.34	3959.03	3948.84	3955.40	3874	0	60
2022.07.26	08:00:00	3955.27	3960.31	3951.50	3956.35	5841	0	60
2022.07.26	12:00:00	3956.60	3961.09	3946.92	3950.91	6200	0	60
2022.07.26	16:00:00	3950.91	3953.40	3915.00	3926.87	13250	0	40
2022.07.26	20:00:00	3926.75	3935.48	3910.46	3934.86	10826	0	40
2022.07.27	00:00:00	3935.88	3955.69	3935.88	3949.43	4343	0	60
2022.07.27	04:00:00	3949.31	3957.48	3944.34	3955.97	3620	0	60
2022.07.27	08:00:00	3956.10	3965.20	3950.99	3959.40	6210	0	60
2022.07.27	12:00:00	3959.28	3962.22	3949.75	3956.79	5276	0	60
2022.07.27	16:00:00	3956.79	3982.16	3951.69	3971.71	9819	0	40
2022.07.27	20:00:00	3971.46	4040.10	3966.11	4017.48	17076	0	40
2022.07.28	00:00:00	4018.41	4019.07	4009.62	4012.38	2839	0	60
2022.07.28	04:00:00	4012.51	4018.17	4010.64	4012.42	4059	0	60
2022.07.28	08:00:00	4012.41	4018.89	4004.98	4005.76	6265	0	60
2022.07.28	12:00:00	4005.64	4027.19	4000.96	4018.49	6986	0	60
2022.07.28	16:00:00	4018.37	4055.83	3992.50	4051.98	17009	0	40
