<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.21	04:00:00	15111.90	15119.39	15073.85	15105.34	2561	0	500
2022.02.21	08:00:00	15106.84	15235.15	15028.86	15046.78	14312	0	90
2022.02.21	12:00:00	15046.28	15046.37	14612.86	14755.31	19793	0	100
2022.02.21	16:00:00	14753.79	14857.27	14644.99	14647.49	15860	0	100
2022.02.21	20:00:00	14648.99	14710.53	14392.26	14470.17	4948	0	150
2022.02.22	00:00:00	14466.89	14585.58	14384.93	14516.01	7247	0	500
2022.02.22	04:00:00	14515.51	14544.47	14430.43	14524.45	2778	0	500
2022.02.22	08:00:00	14521.45	14647.75	14305.52	14531.57	20670	0	90
2022.02.22	12:00:00	14534.06	14760.50	14526.54	14708.32	19101	0	100
2022.02.22	16:00:00	14706.32	14783.58	14547.99	14557.50	21027	0	100
2022.02.22	20:00:00	14558.00	14736.05	14496.94	14706.10	18992	0	150
2022.02.23	00:00:00	14702.67	14765.11	14701.71	14731.23	3162	0	500
2022.02.23	04:00:00	14730.73	14779.70	14702.19	14755.17	2340	0	500
2022.02.23	08:00:00	14754.67	14902.04	14668.85	14831.87	12614	0	60
2022.02.23	12:00:00	14831.87	14856.15	14761.70	14837.44	12656	0	100
2022.02.23	16:00:00	14837.94	14842.43	14584.78	14652.41	20615	0	100
2022.02.23	20:00:00	14651.40	14651.40	14473.78	14481.51	13829	0	150
2022.02.24	00:00:00	14489.36	14518.50	14335.79	14422.34	5566	0	500
2022.02.24	04:00:00	14423.84	14435.84	14010.98	14053.50	9500	0	500
2022.02.24	08:00:00	14053.00	14224.07	13793.54	14060.56	21434	0	60
2022.02.24	12:00:00	14059.08	14106.40	13803.14	13883.20	25962	0	100
2022.02.24	16:00:00	13882.70	14150.91	13864.77	13996.26	31795	0	100
2022.02.24	20:00:00	13995.76	14367.97	13982.75	14273.69	18879	0	150
2022.02.25	00:00:00	14260.30	14319.62	14205.51	14266.05	5484	0	500
