<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.16	08:00:00	6041.10	6053.59	5912.06	5914.66	11630	0	80
2022.06.16	12:00:00	5913.91	5929.69	5876.72	5899.13	12833	0	80
2022.06.16	16:00:00	5900.13	5906.10	5860.64	5885.65	15557	0	80
2022.06.16	20:00:00	5886.15	5904.41	5840.12	5858.12	6948	0	80
2022.06.17	08:00:00	5929.86	5953.63	5869.39	5936.60	11585	0	80
2022.06.17	12:00:00	5936.35	5974.39	5923.15	5932.56	11773	0	80
2022.06.17	16:00:00	5915.05	5946.55	5856.05	5885.32	14284	0	30
2022.06.17	20:00:00	5885.06	5917.58	5877.29	5892.55	6376	0	80
2022.06.20	08:00:00	5870.80	5908.56	5854.92	5893.21	8191	0	80
2022.06.20	12:00:00	5892.71	5904.08	5872.38	5890.75	6970	0	80
2022.06.20	16:00:00	5891.25	5927.76	5885.66	5915.99	5645	0	80
2022.06.20	20:00:00	5915.74	5921.97	5910.48	5917.72	349	0	80
2022.06.21	08:00:00	5941.29	6021.63	5925.29	6021.63	7697	0	80
2022.06.21	12:00:00	6021.88	6032.04	5960.83	5961.33	7479	0	80
2022.06.21	16:00:00	5960.83	5979.19	5942.31	5962.82	11794	0	80
2022.06.21	20:00:00	5962.82	5968.32	5942.79	5945.53	3947	0	80
2022.06.22	08:00:00	5876.41	5885.16	5831.35	5858.50	10871	0	80
2022.06.22	12:00:00	5857.50	5878.18	5847.41	5866.40	8441	0	80
2022.06.22	16:00:00	5866.65	5938.37	5854.74	5906.18	16368	0	80
2022.06.22	20:00:00	5906.93	5934.19	5889.90	5889.90	3851	0	80
2022.06.23	08:00:00	5897.35	5902.60	5829.93	5854.18	10139	0	80
2022.06.23	12:00:00	5853.68	5957.08	5853.68	5899.88	9959	0	80
2022.06.23	16:00:00	5899.38	5907.49	5849.49	5855.74	16073	0	80
2022.06.23	20:00:00	5855.49	5913.50	5847.73	5912.75	4815	0	80
2022.06.24	08:00:00	5947.71	5971.91	5911.91	5970.69	7787	0	80
2022.06.24	12:00:00	5970.69	6020.55	5963.03	5995.98	7463	0	80
2022.06.24	16:00:00	5995.98	6092.66	5995.48	6092.16	11332	0	80
2022.06.24	20:00:00	6091.91	6127.40	6085.40	6123.65	2710	0	80
2022.06.27	08:00:00	6114.87	6157.67	6097.84	6102.94	9051	0	80
2022.06.27	12:00:00	6102.93	6111.20	6047.55	6060.40	7857	0	80
2022.06.27	16:00:00	6060.65	6065.66	6029.14	6046.40	13155	0	80
2022.06.27	20:00:00	6046.65	6047.15	6018.37	6027.62	3987	0	80
2022.06.28	08:00:00	6045.07	6137.95	6044.07	6125.38	10117	0	80
2022.06.28	12:00:00	6124.89	6142.32	6107.61	6113.08	8020	0	80
2022.06.28	16:00:00	6112.33	6141.01	6052.68	6064.44	13686	0	80
2022.06.28	20:00:00	6064.19	6065.19	6020.40	6022.40	4836	0	80
2022.06.29	08:00:00	6037.10	6073.30	6007.83	6043.58	10038	0	80
2022.06.29	12:00:00	6043.33	6052.40	5991.93	6030.11	9893	0	80
2022.06.29	16:00:00	6029.61	6057.25	6005.89	6024.27	16514	0	80
2022.06.29	20:00:00	6024.52	6046.52	6013.76	6015.50	4383	0	80
2022.06.30	08:00:00	5967.93	5969.18	5883.83	5905.51	11987	0	80
2022.06.30	12:00:00	5905.01	5910.63	5850.83	5869.01	11011	0	80
2022.06.30	16:00:00	5867.51	5960.35	5859.10	5948.60	15142	0	80
2022.06.30	20:00:00	5948.60	5954.60	5907.33	5950.84	5843	0	80
2022.07.01	08:00:00	5878.28	5958.28	5852.28	5945.59	10455	0	80
2022.07.01	12:00:00	5944.85	5960.47	5908.99	5929.95	10231	0	80
2022.07.01	16:00:00	5930.45	5976.82	5905.32	5936.08	17090	0	80
2022.07.01	20:00:00	5935.58	5996.33	5935.08	5996.33	4969	0	80
2022.07.04	08:00:00	5972.43	5992.43	5958.26	5975.05	8407	0	80
2022.07.04	12:00:00	5974.55	6002.06	5971.56	5979.80	6409	0	80
2022.07.04	16:00:00	5979.80	5984.54	5943.64	5950.17	5057	0	80
2022.07.04	20:00:00	5950.67	5952.66	5946.92	5952.16	295	0	80
2022.07.05	08:00:00	5987.01	5997.51	5882.24	5883.25	10300	0	80
2022.07.05	12:00:00	5884.25	5902.74	5793.95	5797.80	12511	0	80
2022.07.05	16:00:00	5797.30	5834.03	5785.00	5812.50	19159	0	80
2022.07.05	20:00:00	5812.75	5879.74	5811.75	5877.24	5576	0	80
2022.07.06	08:00:00	5855.49	5927.58	5839.48	5858.69	11647	0	80
2022.07.06	12:00:00	5859.19	5902.04	5845.10	5884.87	10709	0	80
2022.07.06	16:00:00	5885.62	5927.36	5884.08	5915.21	16565	0	80
2022.07.06	20:00:00	5915.71	5958.95	5909.95	5943.45	6609	0	80
2022.07.07	08:00:00	5969.63	6018.95	5961.87	5997.25	8201	0	80
2022.07.07	12:00:00	5995.75	6018.90	5982.23	6008.85	8948	0	80
2022.07.07	16:00:00	6008.35	6024.88	5992.57	6012.63	11293	0	80
2022.07.07	20:00:00	6012.38	6024.88	6003.88	6021.37	2479	0	80
2022.07.08	08:00:00	6002.58	6022.45	5961.06	5968.93	5885	0	80
2022.07.08	12:00:00	5968.93	6054.39	5951.27	5996.76	11199	0	80
2022.07.08	16:00:00	5997.26	6037.18	5980.56	5993.67	13381	0	80
2022.07.08	20:00:00	5994.17	6025.17	5987.42	6011.41	3417	0	80
2022.07.11	08:00:00	5952.21	5971.98	5906.45	5968.41	10346	0	80
2022.07.11	12:00:00	5968.65	6004.29	5963.43	5980.26	8326	0	80
2022.07.11	16:00:00	5980.76	6007.84	5963.93	6005.34	13866	0	80
2022.07.11	20:00:00	6005.09	6024.84	5983.58	5987.58	3312	0	80
2022.07.12	08:00:00	5945.80	5986.59	5927.80	5980.70	8614	0	80
2022.07.12	12:00:00	5980.45	5997.03	5961.70	5978.70	9513	0	80
2022.07.12	16:00:00	5979.45	6063.52	5977.97	6055.53	13255	0	80
2022.07.12	20:00:00	6055.53	6061.03	5998.53	6014.53	4232	0	80
2022.07.13	08:00:00	6025.04	6031.79	5972.89	6023.72	8392	0	80
2022.07.13	12:00:00	6023.72	6026.21	5921.98	5964.58	9564	0	80
2022.07.13	16:00:00	5963.58	6022.18	5938.50	6021.43	15325	0	80
2022.07.13	20:00:00	6021.93	6037.18	6002.41	6011.66	6604	0	80
2022.07.14	08:00:00	5999.60	6007.29	5922.93	5937.48	7353	0	80
2022.07.14	12:00:00	5937.73	5964.00	5896.21	5903.36	8700	0	80
2022.07.14	16:00:00	5903.11	5947.95	5872.61	5898.41	12901	0	80
2022.07.14	20:00:00	5900.17	5959.94	5887.91	5956.69	3603	0	80
2022.07.15	08:00:00	5958.40	5975.18	5898.84	5960.88	8963	0	80
2022.07.15	12:00:00	5961.38	5971.32	5917.52	5961.16	11110	0	80
2022.07.15	16:00:00	5960.91	6047.21	5958.64	6015.20	14359	0	80
2022.07.15	20:00:00	6015.70	6044.70	6014.95	6039.70	2768	0	80
2022.07.18	08:00:00	6078.99	6126.20	6054.46	6123.72	8438	0	80
2022.07.18	12:00:00	6123.47	6135.92	6086.09	6092.02	7938	0	80
2022.07.18	16:00:00	6092.27	6114.64	6076.35	6086.25	11114	0	80
2022.07.18	20:00:00	6086.00	6088.50	6027.95	6039.70	4527	0	80
