<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.09.15	1970.40	1987.20	1970.40	1985.00	10889	0	0
2014.09.16	1985.10	2002.70	1978.70	1999.70	6595	0	0
2014.09.17	1999.70	2011.00	1991.20	2002.20	4822	0	40
2014.09.18	2003.00	2014.50	2001.00	2014.20	6204	0	0
2014.09.19	2014.20	2022.20	2006.20	2010.50	4766	0	40
2014.09.22	2010.00	2010.70	1990.50	1992.70	9306	0	0
2014.09.23	1992.70	1995.50	1976.00	1976.50	5309	0	40
2014.09.24	1976.50	2000.00	1976.00	1998.30	4653	0	40
2014.09.25	1998.50	1999.00	1965.70	1969.00	12739	0	0
2014.09.26	1969.00	1986.50	1964.00	1982.20	6347	0	40
2014.09.29	1982.10	1984.50	1963.00	1976.00	16660	0	0
2014.09.30	1976.00	1985.50	1968.20	1969.00	6299	0	40
2014.10.01	1968.20	1974.60	1941.00	1948.80	21534	0	0
2014.10.02	1948.80	1952.70	1925.70	1945.70	9597	0	40
2014.10.03	1945.70	1971.70	1943.00	1967.70	5588	0	40
2014.10.06	1966.50	1978.20	1958.00	1961.50	21100	0	0
2014.10.07	1960.30	1963.60	1932.00	1932.50	21475	0	0
2014.10.08	1932.50	1970.20	1924.50	1969.20	9755	0	40
2014.10.09	1968.30	1975.00	1922.10	1924.40	34565	0	0
2014.10.10	1924.40	1937.20	1905.90	1905.90	14696	0	40
2014.10.13	1899.40	1912.40	1871.10	1871.60	37831	0	0
2014.10.14	1871.60	1898.50	1870.90	1883.70	15977	0	40
2014.10.15	1883.60	1889.80	1819.50	1852.00	57220	0	0
2014.10.16	1851.80	1876.30	1822.00	1857.20	65619	0	0
2014.10.17	1856.80	1898.20	1856.60	1886.20	37800	0	0
2014.10.20	1891.10	1909.00	1878.70	1908.00	33642	0	0
2014.10.21	1907.30	1946.20	1892.20	1946.00	30778	0	0
2014.10.22	1945.20	1950.00	1926.70	1931.00	30516	0	0
2014.10.23	1931.00	1962.00	1928.70	1952.20	10523	0	40
2014.10.24	1952.20	1965.50	1937.70	1964.20	12186	0	40
2014.10.27	1966.70	1972.20	1951.00	1963.50	9985	0	40
2014.10.28	1963.70	1986.50	1962.70	1985.30	7384	0	40
2014.10.29	1981.70	1991.30	1968.00	1976.90	9755	0	40
2014.10.30	1977.30	1999.90	1964.90	1993.90	10529	0	40
2014.10.31	1993.10	2022.40	1992.60	2014.80	9712	0	40
2014.11.03	2015.70	2025.20	2012.60	2016.10	19068	0	0
2014.11.04	2016.20	2019.70	2000.80	2011.20	20968	0	0
2014.11.05	2011.20	2025.20	2008.70	2023.20	8020	0	40
2014.11.06	2023.80	2033.90	2015.10	2033.00	19537	0	0
2014.11.07	2033.00	2036.90	2024.40	2031.50	6258	0	40
2014.11.10	2029.70	2039.50	2024.70	2038.00	12733	0	0
2014.11.11	2038.40	2043.40	2034.80	2040.10	9457	0	0
2014.11.12	2040.10	2040.50	2030.20	2038.50	4891	0	40
2014.11.13	2038.50	2047.00	2030.20	2037.20	6094	0	40
2014.11.14	2037.10	2043.50	2035.00	2040.00	15303	0	0
2014.11.17	2038.70	2044.10	2028.20	2042.50	16570	0	0
2014.11.18	2042.50	2056.60	2038.30	2051.10	3590	0	40
2014.11.19	2051.50	2053.60	2040.20	2049.50	12665	0	0
2014.11.20	2049.60	2055.90	2037.70	2054.80	12465	0	0
2014.11.21	2055.30	2075.30	2052.30	2063.50	15441	0	0
2014.11.24	2064.70	2072.00	2062.80	2069.50	9688	0	0
2014.11.25	2069.50	2074.60	2064.40	2069.90	3869	0	40
2014.11.26	2069.90	2075.90	2065.90	2075.20	3236	0	40
2014.11.27	2076.60	2077.60	2069.20	2074.90	3552	0	0
2014.11.28	2074.00	2076.00	2064.60	2067.60	8217	0	0
2014.12.01	2065.40	2066.60	2049.40	2051.50	19101	0	0
2014.12.02	2053.10	2070.90	2051.50	2067.30	13938	0	0
