<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.27	29025.62	29131.78	28624.87	28647.37	25305	0	900
2021.10.28	28706.37	28922.99	28682.24	28890.48	23292	0	900
2021.10.29	28816.96	29048.56	28468.16	29036.06	26391	0	900
2021.11.01	29397.38	29658.78	29359.87	29533.11	22118	0	900
2021.11.02	29487.13	29593.00	29399.00	29491.50	15904	0	900
2021.11.03	29513.00	29744.00	29408.00	29729.00	7467	0	900
2021.11.04	29803.00	29950.50	29585.48	29757.98	16853	0	900
2021.11.05	29801.97	29814.47	29493.51	29689.90	19623	0	900
2021.11.08	29649.34	29678.69	29433.38	29663.69	17194	0	900
2021.11.09	29690.68	29693.21	29182.70	29290.17	21087	0	900
2021.11.10	29229.06	29380.70	29000.58	29065.58	23096	0	900
2021.11.11	29196.69	29468.96	29108.66	29421.42	19636	0	900
2021.11.12	29627.71	29754.90	29521.86	29742.39	14767	0	900
2021.11.15	29795.75	29818.25	29635.59	29728.09	14559	0	900
2021.11.16	29728.39	29968.18	29682.71	29837.62	15551	0	900
2021.11.17	29764.85	29784.74	29478.29	29540.77	15958	0	900
2021.11.18	29586.23	29717.08	29375.07	29567.81	18083	0	900
2021.11.19	29662.32	29782.39	29470.61	29620.85	22956	0	900
2021.11.22	29583.00	29906.50	29533.00	29676.50	16790	0	900
2021.11.23	29680.50	29779.00	29499.00	29694.00	16937	0	900
2021.11.24	29630.50	29633.00	29204.88	29459.56	26493	0	900
2021.11.25	29483.65	29568.61	29433.21	29480.77	10060	0	900
2021.11.26	29047.65	29067.83	28016.11	28026.11	42133	0	900
2021.11.29	28434.28	28782.29	28132.99	28360.33	38821	0	900
2021.11.30	28663.87	28701.15	27371.86	27674.07	54097	0	900
2021.12.01	27743.45	28229.18	27398.52	27451.02	44831	0	900
2021.12.02	27864.19	27964.78	27504.81	27912.16	50492	0	900
2021.12.03	27756.21	28173.17	27571.21	27745.40	48897	0	900
2021.12.06	27802.40	28147.90	27687.79	28072.93	36632	0	900
2021.12.07	28017.40	28838.96	27993.19	28831.46	20600	0	900
2021.12.08	28670.62	28910.22	28668.11	28900.24	19630	0	900
2021.12.09	28891.61	28911.34	28542.07	28584.55	20656	0	900
2021.12.10	28622.76	28622.76	28371.94	28601.21	21554	0	900
2021.12.13	28674.95	28775.84	28431.94	28496.94	21509	0	900
2021.12.14	28619.56	28632.23	28171.66	28304.19	25771	0	900
2021.12.15	28509.08	28918.04	28396.42	28900.55	25141	0	900
2021.12.16	28952.58	29174.42	28704.76	28804.71	27478	0	900
2021.12.17	28822.46	28865.36	28367.51	28472.50	32896	0	900
2021.12.20	28362.01	28414.33	27842.41	28273.85	35930	0	900
2021.12.21	28313.27	28705.09	28218.04	28675.09	22548	0	900
2021.12.22	28543.36	28725.89	28434.72	28705.89	17773	0	900
2021.12.23	28654.48	28927.67	28617.11	28865.17	12761	0	900
2021.12.27	28756.48	29033.68	28658.12	28998.69	11047	0	900
2021.12.28	28974.77	29117.76	28915.99	29021.70	14563	0	900
2021.12.29	29031.62	29034.13	28702.92	28832.93	16738	0	900
2021.12.30	28691.12	28953.99	28678.85	28838.96	15278	0	900
2021.12.31	28760.50	28974.00	28718.00	28964.00	5812	0	900
2022.01.03	29110.50	29160.50	28819.00	28931.50	10832	0	900
2022.01.04	28993.00	29366.50	28985.50	29284.00	18783	0	900
2022.01.05	29273.00	29388.00	28971.50	29009.00	20504	0	900
2022.01.06	29103.00	29115.50	28484.34	28720.41	33647	0	900
2022.01.07	28787.74	28802.62	28185.57	28438.13	26501	0	900
2022.01.10	28360.50	28571.50	27869.00	28171.50	19218	0	900
2022.01.11	28308.00	28475.06	28079.59	28460.05	27702	0	900
2022.01.12	28563.41	28805.25	28539.53	28690.20	24508	0	900
2022.01.13	28591.15	28676.06	28246.02	28271.02	24749	0	900
2022.01.14	28148.25	28337.34	27884.86	28314.82	34647	0	900
