<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.10.03	4452.80	4465.10	4431.90	4452.20	17336	1719162	90
2016.10.04	4456.90	4521.30	4451.30	4467.20	38230	4242706	90
2016.10.05	4482.10	4500.00	4438.40	4495.30	29761	3340732	90
2016.10.06	4496.90	4512.00	4468.90	4497.00	30344	3493636	90
2016.10.07	4482.10	4497.00	4430.80	4451.70	42551	4893028	90
2016.10.10	4451.60	4506.30	4427.50	4500.20	24974	3148174	90
2016.10.11	4500.20	4520.10	4456.00	4467.00	30237	3795140	90
2016.10.12	4467.40	4473.80	4441.00	4460.20	30421	3714845	10
2016.10.13	4460.10	4460.20	4369.70	4424.10	34744	4371008	90
2016.10.14	4429.70	4497.80	4417.50	4472.30	30163	3793226	90
2016.10.17	4451.30	4474.70	4439.30	4453.50	29348	3538870	90
2016.10.18	4461.10	4518.70	4453.50	4510.40	23678	3068944	90
2016.10.19	4511.00	4528.50	4494.90	4518.30	17101	1873776	90
2016.10.20	4529.40	4553.40	4499.90	4545.60	21302	2081440	90
2016.10.21	4536.00	4555.60	4516.40	4544.10	24051	3078928	90
2016.10.24	4544.00	4579.90	4540.30	4558.40	18713	2412392	90
2016.10.25	4564.00	4571.40	4527.30	4539.40	22852	2778996	90
2016.10.26	4536.80	4539.90	4495.70	4525.60	27754	3748838	90
2016.10.27	4512.50	4557.00	4501.80	4526.00	31731	3886694	90
2016.10.28	4526.00	4553.90	4503.60	4516.30	39648	4385208	90
2016.10.31	4529.80	4539.90	4499.40	4510.80	17085	2375522	90
2016.11.01	4535.60	4539.40	4437.40	4452.00	32595	4218992	90
2016.11.02	4452.00	4452.00	4396.90	4414.20	34570	4363660	90
2016.11.03	4413.20	4456.30	4396.60	4406.00	33218	4042456	90
2016.11.04	4409.70	4413.50	4347.40	4354.00	33082	4524162	90
2016.11.07	4442.40	4464.80	4428.00	4463.20	20240	2825074	90
2016.11.08	4463.70	4503.00	4445.40	4492.80	25864	3174385	10
2016.11.09	4492.80	4566.80	4273.50	4552.90	78429	7333232	90
2016.11.10	4572.40	4606.30	4502.10	4543.20	61488	6098356	90
2016.11.11	4545.60	4554.50	4472.20	4498.80	46583	4490710	90
2016.11.14	4498.80	4561.20	4491.00	4522.30	46912	5070996	90
2016.11.15	4519.30	4552.90	4503.20	4552.80	32123	3829526	90
2016.11.16	4554.60	4556.60	4479.30	4497.90	29677	3079584	90
2016.11.17	4508.20	4543.40	4482.10	4542.90	22283	2008186	90
2016.11.18	4541.80	4551.40	4496.40	4502.80	28943	3342154	90
2016.11.21	4503.40	4549.90	4478.30	4549.70	25475	2889544	90
2016.11.22	4549.70	4572.30	4540.30	4564.30	21848	2843880	90
2016.11.23	4564.50	4565.50	4508.20	4537.40	26857	3086302	90
2016.11.24	4539.30	4552.40	4519.00	4546.20	15988	1737716	90
2016.11.25	4546.10	4565.70	4522.60	4559.60	13975	1779750	90
2016.11.28	4559.60	4560.00	4498.00	4500.70	24229	3130098	10
2016.11.29	4500.70	4563.80	4493.60	4552.10	26206	3359455	10
2016.11.30	4552.10	4597.40	4546.00	4567.10	29301	3531462	90
2016.12.01	4567.10	4583.00	4538.90	4541.20	33281	4283664	90
2016.12.02	4541.10	4545.70	4489.20	4525.20	29041	3991026	90
2016.12.05	4525.20	4605.80	4470.60	4582.00	40034	4488111	10
2016.12.06	4582.00	4667.50	4557.80	4657.40	25393	2955674	90
2016.12.07	4657.40	4738.40	4657.40	4721.40	26044	3062410	90
2016.12.08	4721.40	4754.40	4684.80	4738.90	39907	4011992	90
2016.12.09	4738.80	4789.00	4736.50	4783.00	24684	2931692	90
2016.12.12	4782.90	4788.00	4745.60	4750.80	25334	2849788	90
2016.12.13	4750.90	4812.90	4747.20	4799.10	24930	2941398	90
2016.12.14	4799.20	4807.00	4759.90	4762.40	29173	2429672	90
2016.12.15	4762.40	4832.80	4762.40	4816.40	29505	2545658	90
2016.12.16	4816.40	4856.80	4803.60	4822.80	24143	2962390	90
2016.12.19	4822.70	4836.50	4811.50	4816.20	14607	2026715	10
2016.12.20	4816.20	4852.40	4814.40	4844.30	13530	1978280	90
2016.12.21	4844.30	4851.40	4820.60	4835.40	11684	1609921	10
2016.12.22	4835.40	4841.60	4818.00	4829.00	10487	1622420	90
2016.12.23	4829.00	4844.80	4824.70	4837.90	7591	1052382	90
2016.12.27	4837.80	4852.20	4832.90	4840.50	4581	691084	90
2016.12.28	4840.50	4852.50	4823.10	4827.10	8254	1338890	90
2016.12.29	4827.10	4845.30	4820.40	4829.60	10437	1482058	90
2016.12.30	4829.60	4864.20	4823.00	4842.90	12326	1557316	90
2017.01.02	4851.70	4895.40	4847.40	4877.40	5188	568556	90
2017.01.03	4877.40	4929.40	4877.40	4906.50	19812	2797888	90
2017.01.04	4906.40	4918.50	4879.10	4904.40	14276	2200252	90
2017.01.05	4904.40	4905.60	4873.90	4897.30	16269	2214364	90
2017.01.06	4897.30	4916.20	4873.90	4910.90	15682	2211322	90
2017.01.09	4910.90	4923.90	4867.40	4885.40	13147	2053628	90
2017.01.10	4885.30	4907.60	4867.80	4881.10	12653	1858178	90
2017.01.11	4881.10	4916.80	4855.80	4898.50	22225	2939866	90
2017.01.12	4898.50	4898.50	4856.30	4887.50	19637	2644446	90
2017.01.13	4887.50	4924.30	4881.50	4907.50	15537	2483634	90
2017.01.16	4907.56	4910.40	4878.42	4880.65	12166	1512251	1
2017.01.17	4880.65	4888.79	4840.90	4864.51	22115	3252290	81
2017.01.18	4864.51	4880.28	4825.82	4859.73	14170	1921550	81
2017.01.19	4859.73	4867.69	4822.63	4831.63	14644	1843722	81
2017.01.20	4841.15	4869.17	4818.08	4851.73	22761	3086554	81
2017.01.23	4851.73	4851.73	4797.87	4833.95	18325	2933342	81
2017.01.24	4833.94	4855.85	4815.85	4849.35	15195	2311604	81
2017.01.25	4849.25	4889.86	4847.33	4876.86	15722	2737600	81
2017.01.26	4876.87	4901.89	4854.26	4861.20	17435	2723712	81
2017.01.27	4861.19	4871.70	4828.18	4840.95	17217	2595296	81
2017.01.30	4840.95	4840.95	4771.41	4801.22	18639	2708082	81
2017.01.31	4801.21	4812.95	4746.39	4766.12	20946	3499628	81
2017.02.01	4766.13	4824.27	4766.13	4796.80	20301	2865650	81
2017.02.02	4796.79	4812.62	4772.52	4807.17	21610	2963506	81
2017.02.03	4807.17	4847.90	4792.77	4828.94	18228	2626594	81
