<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.23	12360.02	12618.60	12159.25	12419.14	81033	0	70
2020.06.24	12421.63	12518.50	12031.85	12179.10	96735	0	70
2020.06.25	12167.65	12336.75	11957.10	12336.16	99131	0	70
2020.06.26	12319.15	12364.65	12035.10	12061.85	88750	0	70
2020.06.29	12016.10	12313.73	11957.10	12298.61	94077	0	70
2020.06.30	12293.57	12406.85	12186.35	12352.00	64106	0	70
2020.07.01	12353.25	12398.75	12081.35	12288.81	62724	0	80
2020.07.02	12290.87	12659.10	12232.00	12575.05	74872	0	70
2020.07.03	12579.07	12663.85	12472.60	12582.85	44502	0	70
2020.07.06	12606.02	12844.74	12605.02	12745.00	65544	0	70
2020.07.07	12747.51	12817.25	12519.60	12528.25	69934	0	70
2020.07.08	12525.26	12673.60	12459.85	12611.16	70855	0	70
2020.07.09	12615.62	12711.35	12447.10	12561.51	80351	0	70
2020.07.10	12562.50	12721.10	12400.35	12709.60	72704	0	70
2020.07.13	12774.97	12879.85	12535.35	12564.23	76923	0	70
2020.07.14	12568.22	12797.10	12529.35	12754.74	94174	0	70
2020.07.15	12834.78	13000.36	12772.85	12924.01	78904	0	70
2020.07.16	12932.03	12950.09	12803.44	12857.47	71690	0	70
2020.07.17	12871.53	12973.65	12857.44	12962.38	55466	0	70
2020.07.20	12960.54	13099.22	12809.16	13082.86	66935	0	70
2020.07.21	13081.84	13315.82	13073.26	13096.55	74759	0	70
2020.07.22	13091.50	13200.15	13064.46	13129.38	64197	0	70
2020.07.23	13134.90	13218.24	12950.74	12998.17	76153	0	70
2020.07.24	13000.18	13031.16	12776.95	12830.73	75770	0	70
2020.07.27	12816.70	12910.07	12754.20	12895.46	62899	0	70
2020.07.28	12897.45	12979.04	12744.98	12783.17	60346	0	70
2020.07.29	12788.63	12893.58	12746.88	12893.58	49242	0	70
2020.07.30	12896.57	12896.57	12253.38	12540.80	78247	0	70
2020.07.31	12553.10	12566.56	12209.08	12318.39	78106	0	70
2020.08.03	12322.68	12699.42	12277.59	12658.11	60495	0	70
2020.08.04	12662.92	12769.30	12526.78	12619.18	62334	0	70
2020.08.05	12621.57	12759.05	12575.88	12608.53	55699	0	70
2020.08.06	12605.67	12798.37	12516.82	12660.33	64626	0	70
2020.08.07	12655.43	12705.86	12514.90	12704.86	59162	0	70
2020.08.10	12690.64	12774.97	12601.38	12738.38	56690	0	70
2020.08.11	12728.86	13046.52	12717.83	12859.29	66580	0	70
2020.08.12	12870.85	13102.75	12824.97	13060.67	56236	0	70
2020.08.13	13055.81	13088.88	12921.25	12967.68	55225	0	70
2020.08.14	12967.68	13016.21	12793.52	12869.88	51593	0	70
2020.08.17	12863.00	12964.65	12846.60	12929.69	44294	0	70
2020.08.18	12928.72	13055.55	12804.50	12871.99	53612	0	70
2020.08.19	12873.88	12993.09	12831.51	12920.86	48556	0	70
2020.08.20	12920.86	12937.19	12752.04	12863.71	49578	0	70
2020.08.21	12863.70	12938.31	12629.45	12794.96	62770	0	70
2020.08.24	12809.58	13105.93	12782.18	13067.67	51931	0	70
2020.08.25	13068.15	13221.16	13010.70	13099.32	50510	0	70
2020.08.26	13101.70	13262.18	13008.61	13246.12	51433	0	70
